id,code,commercial_item_code,attribute_code,source_text,notes
1,sandero_rear_view_camera_option__rear_view_camera,sandero_rear_view_camera_option,rear_view_camera,Kamera cofania,
2,sandero_media_nav_live_option__navigation_system,sandero_media_nav_live_option,navigation_system,Nowy Media Nav Live: nawigacja on-line z 8-letnią subskrypcją,
3,sandero_glass_sunroof_option__glass_sunroof,sandero_glass_sunroof_option,glass_sunroof,"Elektrycznie otwierany, szklany dach",
4,sandero_comfort_auto_package__automatic_climate_control,sandero_comfort_auto_package,automatic_climate_control,klimatyzacja automatyczna,
5,sandero_comfort_auto_package__keyless_entry,sandero_comfort_auto_package,keyless_entry,bezkluczykowy dostęp Keyless Entry,
6,sandero_thermo_package__automatic_climate_control,sandero_thermo_package,automatic_climate_control,Klimatyzacja automatyczna,
7,sandero_thermo_package__heated_front_seats,sandero_thermo_package,heated_front_seats,Fotele przednie podgrzewane,
8,sandero_winter_package__heated_front_seats,sandero_winter_package,heated_front_seats,przednie fotele podgrzewane,
9,sandero_winter_package__heated_steering_wheel,sandero_winter_package,heated_steering_wheel,podgrzewana kierownica,
10,sandero_media_nav_live_package__navigation_system,sandero_media_nav_live_package,navigation_system,System multimedialny Nowy Media Nav z nawigacją on-line,
11,sandero_media_nav_live_package__wireless_charging,sandero_media_nav_live_package,wireless_charging,ładowarka indukcyjna,
12,sandero_easy_package__side_mirrors_electric_adjustment,sandero_easy_package,side_mirrors_electric_adjustment,lusterka elektrycznie sterowane,
13,sandero_easy_package__side_mirrors_heated,sandero_easy_package,side_mirrors_heated,lusterka podgrzewane,
14,sandero_easy_package__side_mirrors_folding,sandero_easy_package,side_mirrors_folding,lusterka składane elektrycznie,
15,sandero_easy_package__high_beam_assist,sandero_easy_package,high_beam_assist,funkcja automatycznej zmiany świateł drogowych na mijania (AHL),
16,sandero_easy_package__360_camera_system,sandero_easy_package,360_camera_system,system Multiview kamera,
17,duster_media_nav_live_option__navigation_system,duster_media_nav_live_option,navigation_system,Nowy system Media Nav Live: nawigacja on-line,
18,duster_winter_expression_journey_package__heated_front_seats,duster_winter_expression_journey_package,heated_front_seats,przednie fotele podgrzewane,
19,duster_winter_expression_journey_package__heated_steering_wheel,duster_winter_expression_journey_package,heated_steering_wheel,kierownica podgrzewana,
20,duster_winter_expression_journey_package__driver_seat_lumbar_adjustment,duster_winter_expression_journey_package,driver_seat_lumbar_adjustment,fotel kierowcy z regulacją lędźwiową,
21,duster_winter_expression_journey_package__passenger_seat_adjustment,duster_winter_expression_journey_package,passenger_seat_adjustment,fotel pasażera z regulacją wysokości,
22,duster_winter_extreme_package__heated_front_seats,duster_winter_extreme_package,heated_front_seats,przednie fotele podgrzewane,
23,duster_winter_extreme_package__heated_steering_wheel,duster_winter_extreme_package,heated_steering_wheel,kierownica podgrzewana,
24,duster_winter_plus_extreme_package__heated_front_seats,duster_winter_plus_extreme_package,heated_front_seats,przednie fotele podgrzewane,
25,duster_winter_plus_extreme_package__heated_steering_wheel,duster_winter_plus_extreme_package,heated_steering_wheel,kierownica podgrzewana,
26,duster_winter_plus_extreme_package__heated_windscreen,duster_winter_plus_extreme_package,heated_windscreen,podgrzewana przednia szyba,
27,duster_winter_plus_journey_package__heated_front_seats,duster_winter_plus_journey_package,heated_front_seats,przednie fotele podgrzewane,
28,duster_winter_plus_journey_package__heated_steering_wheel,duster_winter_plus_journey_package,heated_steering_wheel,kierownica podgrzewana,
29,duster_winter_plus_journey_package__heated_windscreen,duster_winter_plus_journey_package,heated_windscreen,podgrzewana przednia szyba,
30,duster_winter_plus_journey_package__passenger_seat_adjustment,duster_winter_plus_journey_package,passenger_seat_adjustment,fotel pasażera z regulacją wysokości,
31,duster_parking_package__front_parking_sensors,duster_parking_package,front_parking_sensors,czujniki parkowania z przodu i z boku,
32,duster_parking_package__rear_parking_sensors,duster_parking_package,rear_parking_sensors,czujniki parkowania z tyłu,
33,duster_parking_package__360_camera_system,duster_parking_package,360_camera_system,Multiview kamera,
34,duster_parking_package__blind_spot_monitoring,duster_parking_package,blind_spot_monitoring,system kontroli martwego pola (BSW),
35,duster_techno_1_package__navigation_system,duster_techno_1_package,navigation_system,"system multimedialny Media Nav Live 10""",
36,duster_techno_1_package__wireless_charging,duster_techno_1_package,wireless_charging,ładowarka indukcyjna,
37,duster_techno_1_package__electronic_parking_brake,duster_techno_1_package,electronic_parking_brake,automatyczny hamulec ręczny,
38,duster_techno_1_package__adaptive_cruise_control,duster_techno_1_package,adaptive_cruise_control,aktywny regulator prędkości (ACC),
39,jogger_media_nav_option__navigation_system,jogger_media_nav_option,navigation_system,Nowy Media Nav: nawigacja online,
40,jogger_heated_front_seats_option__heated_front_seats,jogger_heated_front_seats_option,heated_front_seats,Fotele przednie podgrzewane,
41,jogger_comfort_hev_package__automatic_climate_control,jogger_comfort_hev_package,automatic_climate_control,klimatyzacja automatyczna,
42,jogger_comfort_hev_package__keyless_entry,jogger_comfort_hev_package,keyless_entry,bezkluczykowy dostęp Keyless Entry,
43,jogger_comfort_package__automatic_climate_control,jogger_comfort_package,automatic_climate_control,klimatyzacja automatyczna,
44,jogger_comfort_package__keyless_entry,jogger_comfort_package,keyless_entry,bezkluczykowy dostęp Keyless Entry,
45,jogger_comfort_package__electronic_parking_brake,jogger_comfort_package,electronic_parking_brake,automatyczny hamulec postojowy,
46,jogger_winter_package__heated_front_seats,jogger_winter_package,heated_front_seats,przednie fotele podgrzewane,
47,jogger_winter_package__heated_steering_wheel,jogger_winter_package,heated_steering_wheel,podgrzewana kierownica,
48,jogger_drive_package__side_mirrors_electric_adjustment,jogger_drive_package,side_mirrors_electric_adjustment,lusterka sterowane elektrycznie,
49,jogger_drive_package__side_mirrors_folding,jogger_drive_package,side_mirrors_folding,lusterka składane elektrycznie,
50,jogger_drive_package__side_mirrors_heated,jogger_drive_package,side_mirrors_heated,lusterka podgrzewane,
51,jogger_drive_package__high_beam_assist,jogger_drive_package,high_beam_assist,funkcja automatycznej zmiany świateł drogowych na mijania (AHL),
52,jogger_drive_package__360_camera_system,jogger_drive_package,360_camera_system,system Multiview kamera,
53,bigster_media_nav_live_option__navigation_system,bigster_media_nav_live_option,navigation_system,System Media Nav Live: nawigacja on-line,
54,bigster_power_tailgate_option__power_tailgate,bigster_power_tailgate_option,power_tailgate,Pokrywa bagażnika sterowana elektrycznie,
55,bigster_easy_package__front_parking_sensors,bigster_easy_package,front_parking_sensors,"czujniki parkowania z przodu, z tyłu i z boku",
56,bigster_easy_package__rear_parking_sensors,bigster_easy_package,rear_parking_sensors,"czujniki parkowania z przodu, z tyłu i z boku",
57,bigster_easy_package__360_camera_system,bigster_easy_package,360_camera_system,Multiview Camera,
58,bigster_easy_package__blind_spot_monitoring,bigster_easy_package,blind_spot_monitoring,system kontroli martwego pola (BSW),
59,bigster_easy_package__keyless_entry,bigster_easy_package,keyless_entry,karta Keyless Entry,
60,bigster_parking_package__front_parking_sensors,bigster_parking_package,front_parking_sensors,"czujniki parkowania z przodu, z tyłu i z boku",
61,bigster_parking_package__rear_parking_sensors,bigster_parking_package,rear_parking_sensors,"czujniki parkowania z przodu, z tyłu i z boku",
62,bigster_parking_package__360_camera_system,bigster_parking_package,360_camera_system,Multiview kamera,
63,bigster_parking_package__blind_spot_monitoring,bigster_parking_package,blind_spot_monitoring,system kontroli martwego pola (BSW),
64,bigster_winter_package__heated_front_seats,bigster_winter_package,heated_front_seats,przednie fotele podgrzewane,
65,bigster_winter_package__heated_steering_wheel,bigster_winter_package,heated_steering_wheel,kierownica podgrzewana,
66,bigster_winter_plus_package__heated_front_seats,bigster_winter_plus_package,heated_front_seats,przednie fotele podgrzewane,
67,bigster_winter_plus_package__heated_steering_wheel,bigster_winter_plus_package,heated_steering_wheel,kierownica podgrzewana,
68,bigster_winter_plus_package__heated_windscreen,bigster_winter_plus_package,heated_windscreen,podgrzewana przednia szyba,
